Location_id,POI_id,POI_Type,Org_id,User_id,TimeStamp,Zone,Latitude,Longitude,Subcategory,yelp_id,stars,Local_sg_time,Time,weekend,Date,new_time,cluster
917,917,0,4b0586e6f964a520c77322e3,521,Sun Apr 22 01:42:06 +0000 2012,-360,51.082188,-114.00032,Hotel,uaQOlGH85FWz_td3fAdC6w,4.0,22/4/2012 1:42,01:42:06,1,20120422,1,0
915,915,0,4b0586eaf964a520217522e3,521,Sun Apr 22 01:43:00 +0000 2012,-360,51.08204,-114.00002,Steakhouse,hDzL5ywj0q3CDjXXSvhYAg,4.0,22/4/2012 1:43,01:43:00,1,20120422,1,1
916,916,0,4ce3568f2407a1cdc5ae4dd0,521,Sun Apr 22 01:43:21 +0000 2012,-360,51.082187,-114.000384,Pub,hn_3yKI4wtL2zOwhEjX7nQ,5.0,22/4/2012 1:43,01:43:21,1,20120422,1,2
915,915,0,4b0586eaf964a520217522e3,521,Sun Apr 22 16:21:38 +0000 2012,-360,51.08204,-114.00002,Steakhouse,hDzL5ywj0q3CDjXXSvhYAg,4.0,22/4/2012 16:21,16:21:38,1,20120422,16,1
892,892,0,4b5c9711f964a520713829e3,521,Sun Apr 22 16:22:44 +0000 2012,-360,51.080482,-114.002946,Diner,hcNgeIo2TWyfzgkR0yG-BQ,3.0,22/4/2012 16:22,16:22:44,1,20120422,16,3
1181,1181,0,4b0586e6f964a5209f7322e3,521,Sun Apr 22 18:28:50 +0000 2012,-360,51.04996,-114.06965,Hotel,fbbO2vNsYPhi11Se7T95lQ,3.5,22/4/2012 18:28,18:28:50,1,20120422,18,4
1177,1177,0,4b0586e9f964a520b47422e3,521,Sun Apr 22 18:31:00 +0000 2012,-360,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,3.5,22/4/2012 18:31,18:31:00,1,20120422,18,5
1174,1174,0,4b6c4525f964a520dc2c2ce3,521,Sun Apr 22 18:59:03 +0000 2012,-360,51.048468,-114.071598,Coffee Shop,4X-IzouANwT37SS0McEhPA,2.5,22/4/2012 18:59,18:59:03,1,20120422,18,6
512,512,0,4b5b72b5f964a520d3fe28e3,521,Sun Apr 22 19:10:20 +0000 2012,-360,51.03802,-114.075437,Board Shop,hYUR8pzbBd61T99VuyJzNQ,4.0,22/4/2012 19:10,19:10:20,1,20120422,19,7
474,474,0,4b0586ecf964a520d67522e3,521,Sun Apr 22 19:55:01 +0000 2012,-360,51.037408,-114.060752,Casino,dkYxm9XJ0jKQ1LcuI829tg,3.5,22/4/2012 19:55,19:55:01,1,20120422,19,8
